# ----------------------------------------,,,,,,,,,
# Scanner.luxurypresence.com,,,,,,,,,
# Traffic acquisition: Session source / medium-Tab 3,,,,,,,,,
# 20260122-20260421,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Session source / medium,Event name,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,
instantly / email,inp,20260324,21,21,1.00,1.48,1.10,23,
instantly / email,first_visit,20260324,37,29,0.78,0.00,1.00,37,
instantly / email,cls,20260324,29,28,0.97,0.31,1.28,37,
instantly / email,view_search_results,20260325,3,3,1.00,0.00,4.33,13,
instantly / email,user_engagement,20260325,4,3,0.75,7.50,2.50,10,
instantly / email,session_start,20260325,35,28,0.80,0.00,1.00,35,
instantly / email,scroll,20260325,2,2,1.00,0.00,1.50,3,
instantly / email,page_view,20260325,35,28,0.80,1.46,2.06,72,
instantly / email,mql_form_submit,20260325,1,1,1.00,0.00,1.00,1,
instantly / email,lcp,20260325,28,27,0.96,15.71,1.93,54,
instantly / email,inp,20260325,13,13,1.00,2.85,2.15,28,
instantly / email,form_submit,20260325,2,2,1.00,15.50,2.00,4,
instantly / email,first_visit,20260325,32,25,0.78,0.00,1.00,32,
instantly / email,cls,20260325,28,27,0.96,0.00,2.00,56,
instantly / email,user_engagement,20260326,2,1,0.50,14.50,1.00,2,
instantly / email,session_start,20260326,27,21,0.78,0.00,1.00,27,
instantly / email,scroll,20260326,1,0,0.00,0.00,1.00,1,
instantly / email,page_view,20260326,27,21,0.78,0.00,1.30,35,
instantly / email,lcp,20260326,20,19,0.95,7.95,1.10,22,
instantly / email,inp,20260326,15,15,1.00,1.07,1.13,17,
instantly / email,first_visit,20260326,27,21,0.78,0.00,1.00,27,
instantly / email,cls,20260326,20,19,0.95,0.05,1.10,22,
instantly / email,user_engagement,20260327,1,1,1.00,5.00,1.00,1,
instantly / email,session_start,20260327,21,17,0.81,0.00,1.05,22,
instantly / email,page_view,20260327,21,17,0.81,0.00,1.57,33,
instantly / email,lcp,20260327,15,13,0.87,11.93,1.33,20,
instantly / email,inp,20260327,2,2,1.00,0.00,1.50,3,
instantly / email,first_visit,20260327,21,17,0.81,0.00,1.05,22,
instantly / email,cls,20260327,15,13,0.87,0.00,1.33,20,
instantly / email,view_search_results,20260329,1,1,1.00,0.00,1.00,1,
instantly / email,session_start,20260329,1,1,1.00,0.00,1.00,1,
instantly / email,scroll,20260329,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260329,1,1,1.00,0.00,2.00,2,
instantly / email,lcp,20260329,1,1,1.00,0.00,1.00,1,
instantly / email,inp,20260329,1,1,1.00,0.00,1.00,1,
instantly / email,form_submit,20260329,1,1,1.00,7.00,1.00,1,
instantly / email,first_visit,20260329,1,1,1.00,0.00,1.00,1,
instantly / email,cls,20260329,1,1,1.00,0.00,1.00,1,
instantly / email,view_search_results,20260330,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260330,3,2,0.67,12.00,1.33,4,
instantly / email,session_start,20260330,33,23,0.70,0.00,1.03,34,
instantly / email,scroll,20260330,1,1,1.00,0.00,2.00,2,
instantly / email,page_view,20260330,33,23,0.70,0.00,1.39,46,
instantly / email,lcp,20260330,27,22,0.81,8.96,1.22,33,
instantly / email,inp,20260330,18,17,0.94,3.89,1.17,21,
instantly / email,form_submit,20260330,6,6,1.00,0.83,1.00,6,
instantly / email,first_visit,20260330,32,23,0.72,0.00,1.03,33,
instantly / email,cls,20260330,27,22,0.81,0.04,1.22,33,
instantly / email,session_start,20260331,20,18,0.90,0.00,1.00,20,
instantly / email,page_view,20260331,20,18,0.90,0.00,1.45,29,
instantly / email,lcp,20260331,16,16,1.00,19.00,1.38,22,
instantly / email,inp,20260331,11,11,1.00,0.09,1.18,13,
instantly / email,first_visit,20260331,20,18,0.90,0.00,1.00,20,
instantly / email,cls,20260331,16,16,1.00,0.00,1.38,22,
instantly / email,user_engagement,20260401,1,0,0.00,4.00,1.00,1,
instantly / email,session_start,20260401,22,17,0.77,0.00,1.00,22,
instantly / email,page_view,20260401,22,17,0.77,0.00,1.36,30,
instantly / email,lcp,20260401,18,17,0.94,12.67,1.17,21,
instantly / email,inp,20260401,9,9,1.00,1.22,1.22,11,
instantly / email,first_visit,20260401,22,17,0.77,0.00,1.00,22,
instantly / email,cls,20260401,17,17,1.00,0.00,1.18,20,
instantly / email,user_engagement,20260402,4,3,0.75,25.00,1.50,6,
instantly / email,session_start,20260402,35,28,0.80,0.00,1.00,35,
instantly / email,page_view,20260402,35,28,0.80,0.00,1.37,48,
instantly / email,lcp,20260402,26,23,0.88,10.46,1.23,32,
instantly / email,inp,20260402,12,12,1.00,0.67,1.17,14,
instantly / email,form_submit,20260402,7,7,1.00,0.00,1.00,7,
instantly / email,first_visit,20260402,34,27,0.79,0.00,1.00,34,
instantly / email,cls,20260402,27,23,0.85,0.00,1.22,33,
instantly / email,user_engagement,20260403,1,1,1.00,24.00,1.00,1,
instantly / email,session_start,20260403,37,29,0.78,0.00,1.00,37,
instantly / email,page_view,20260403,37,29,0.78,0.00,1.35,50,
instantly / email,lcp,20260403,28,26,0.93,13.64,1.29,36,
instantly / email,inp,20260403,14,14,1.00,1.29,1.21,17,
instantly / email,form_submit,20260403,7,7,1.00,0.71,1.00,7,
instantly / email,first_visit,20260403,37,29,0.78,0.00,1.00,37,
instantly / email,cls,20260403,28,26,0.93,0.00,1.29,36,
instantly / email,user_engagement,20260406,2,2,1.00,3.00,1.00,2,
instantly / email,session_start,20260406,103,73,0.71,0.00,1.01,104,
instantly / email,page_view,20260406,103,73,0.71,0.00,1.25,129,
instantly / email,lcp,20260406,77,68,0.88,14.13,1.29,99,
instantly / email,inp,20260406,45,45,1.00,1.67,1.27,57,
instantly / email,form_submit,20260406,8,8,1.00,0.25,1.00,8,
instantly / email,first_visit,20260406,103,73,0.71,0.00,1.01,104,
instantly / email,cls,20260406,77,68,0.88,0.01,1.29,99,
instantly / email,view_search_results,20260407,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260407,1,0,0.00,8.00,1.00,1,
instantly / email,session_start,20260407,68,54,0.79,0.00,1.01,69,
instantly / email,scroll,20260407,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260407,68,54,0.79,0.00,1.31,89,
instantly / email,lcp,20260407,53,50,0.94,8.30,1.23,65,
instantly / email,inp,20260407,35,35,1.00,1.20,1.17,41,
instantly / email,form_submit,20260407,22,22,1.00,0.45,1.05,23,
instantly / email,first_visit,20260407,68,54,0.79,0.00,1.01,69,
instantly / email,cls,20260407,53,50,0.94,0.00,1.21,64,
instantly / email,view_search_results,20260408,5,5,1.00,0.00,1.20,6,
instantly / email,user_engagement,20260408,1,1,1.00,6.00,1.00,1,
instantly / email,session_start,20260408,57,40,0.70,0.00,1.00,57,
instantly / email,scroll,20260408,4,4,1.00,0.00,1.25,5,
instantly / email,page_view,20260408,57,40,0.70,0.00,1.47,84,
instantly / email,lcp,20260408,37,35,0.95,10.65,1.46,54,
instantly / email,inp,20260408,21,20,0.95,2.00,1.24,26,
instantly / email,form_submit,20260408,11,11,1.00,7.27,1.18,13,
instantly / email,first_visit,20260408,55,39,0.71,0.00,1.00,55,
instantly / email,cls,20260408,34,32,0.94,0.00,1.47,50,
instantly / email,user_engagement,20260409,1,1,1.00,22.00,1.00,1,
instantly / email,session_start,20260409,33,24,0.73,0.00,1.00,33,
instantly / email,page_view,20260409,33,24,0.73,0.00,1.12,37,
instantly / email,lcp,20260409,25,23,0.92,8.20,1.16,29,
instantly / email,inp,20260409,13,13,1.00,1.00,1.15,15,
instantly / email,form_submit,20260409,6,6,1.00,0.00,1.00,6,
instantly / email,first_visit,20260409,32,24,0.75,0.00,1.00,32,
instantly / email,cls,20260409,25,23,0.92,0.00,1.16,29,
instantly / email,session_start,20260410,47,36,0.77,0.00,1.00,47,
instantly / email,scroll,20260410,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260410,47,36,0.77,0.00,1.38,65,
instantly / email,lcp,20260410,34,31,0.91,12.85,1.18,40,
instantly / email,inp,20260410,16,15,0.94,0.44,1.31,21,
instantly / email,form_submit,20260410,8,7,0.88,0.63,1.00,8,
instantly / email,first_visit,20260410,46,35,0.76,0.00,1.00,46,
instantly / email,cls,20260410,35,32,0.91,0.94,1.20,42,
instantly / email,view_search_results,20260413,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260413,4,3,0.75,31.75,1.00,4,
instantly / email,session_start,20260413,41,27,0.66,0.00,1.00,41,
instantly / email,scroll,20260413,2,2,1.00,0.00,2.00,4,
instantly / email,page_view,20260413,41,27,0.66,0.00,1.37,56,
instantly / email,mql_form_submit,20260413,1,1,1.00,0.00,1.00,1,
instantly / email,lcp,20260413,29,27,0.93,13.24,1.34,39,
instantly / email,inp,20260413,12,12,1.00,2.00,1.25,15,
instantly / email,form_submit,20260413,1,1,1.00,1.00,2.00,2,
instantly / email,first_visit,20260413,36,23,0.64,0.00,1.00,36,
instantly / email,cls,20260413,27,26,0.96,0.04,1.41,38,
instantly / email,session_start,20260414,28,22,0.79,0.00,1.07,30,
instantly / email,page_view,20260414,28,22,0.79,0.00,1.39,39,
instantly / email,lcp,20260414,20,18,0.90,11.35,1.20,24,
instantly / email,inp,20260414,9,9,1.00,1.67,1.11,10,
instantly / email,form_submit,20260414,6,6,1.00,0.00,1.00,6,
instantly / email,first_visit,20260414,28,22,0.79,0.00,1.07,30,
instantly / email,cls,20260414,20,18,0.90,0.45,1.25,25,
instantly / email,user_engagement,20260415,1,0,0.00,1.00,1.00,1,
instantly / email,session_start,20260415,65,49,0.75,0.00,1.02,66,
instantly / email,page_view,20260415,65,49,0.75,0.00,1.31,85,
instantly / email,lcp,20260415,52,48,0.92,16.73,1.29,67,
instantly / email,inp,20260415,24,24,1.00,1.33,1.13,27,
instantly / email,form_submit,20260415,13,13,1.00,0.00,1.00,13,
instantly / email,first_visit,20260415,64,48,0.75,0.00,1.02,65,
instantly / email,cls,20260415,52,48,0.92,0.27,1.31,68,
instantly / email,view_search_results,20260416,2,2,1.00,0.00,1.00,2,
instantly / email,user_engagement,20260416,5,4,0.80,20.40,1.20,6,
instantly / email,session_start,20260416,58,43,0.74,0.00,1.02,59,
instantly / email,scroll,20260416,1,1,1.00,0.00,1.00,1,
instantly / email,page_view,20260416,58,43,0.74,0.00,1.67,97,
instantly / email,lcp,20260416,46,40,0.87,8.57,1.59,73,
instantly / email,inp,20260416,29,29,1.00,1.93,1.17,34,
instantly / email,form_submit,20260416,2,2,1.00,62.00,1.00,2,
instantly / email,first_visit,20260416,57,42,0.74,0.00,1.02,58,
instantly / email,cls,20260416,47,41,0.87,1.74,1.62,76,
instantly / email,view_search_results,20260417,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260417,3,2,0.67,25.33,1.33,4,
instantly / email,session_start,20260417,68,55,0.81,0.00,1.07,73,
instantly / email,scroll,20260417,1,1,1.00,1.00,2.00,2,
instantly / email,page_view,20260417,68,55,0.81,0.00,1.47,100,
instantly / email,lcp,20260417,46,45,0.98,10.96,1.30,60,
instantly / email,inp,20260417,34,34,1.00,0.44,1.15,39,
instantly / email,form_submit,20260417,1,1,1.00,29.00,1.00,1,
instantly / email,first_visit,20260417,68,55,0.81,0.00,1.07,73,
instantly / email,cls,20260417,47,46,0.98,0.57,1.32,62,
instantly / email,user_engagement,20260420,2,2,1.00,20.00,1.00,2,
instantly / email,session_start,20260420,87,56,0.64,0.00,1.00,87,
instantly / email,page_view,20260420,87,56,0.64,0.00,1.30,113,
instantly / email,lcp,20260420,59,50,0.85,13.39,1.19,70,
instantly / email,inp,20260420,28,28,1.00,1.18,1.14,32,
instantly / email,first_visit,20260420,86,56,0.65,0.00,1.00,86,
instantly / email,cls,20260420,58,50,0.86,0.03,1.19,69,
instantly / email,view_search_results,20260421,1,1,1.00,0.00,1.00,1,
instantly / email,user_engagement,20260421,2,1,0.50,2.00,1.00,2,
instantly / email,session_start,20260421,78,50,0.64,0.00,1.06,83,
instantly / email,scroll,20260421,1,1,1.00,0.00,2.00,2,
instantly / email,page_view,20260421,78,50,0.64,0.00,1.36,106,
instantly / email,lcp,20260421,48,43,0.90,13.79,1.21,58,
instantly / email,inp,20260421,20,19,0.95,2.40,1.15,23,
instantly / email,form_submit,20260421,1,1,1.00,44.00,1.00,1,
instantly / email,first_visit,20260421,78,50,0.64,0.00,1.06,83,
instantly / email,cls,20260421,48,43,0.90,0.00,1.21,58,
